User,Content,Date
@mikeJtology,"piped.video/L72s_23V-HQ

The moon rings like a bell 🔔??","May 6, 2023 · 4:12 AM UTC"
@Haini617392957,Hpy bdy bhAAi,"May 6, 2023 · 4:12 AM UTC"
@wilcanfly,“Improve” 🤣🤣😂🤣🤣,"May 6, 2023 · 4:12 AM UTC"
@fsdeeznutz,More free stuff yippie,"May 6, 2023 · 4:12 AM UTC"
@will1_wallace,"That's the dumbest thing I ever heard. And you can't spell either.  It's plane, not plain.  The 1000moh spin must be making you dizzy.","May 6, 2023 · 4:12 AM UTC"
@binaratmaja,"elonmusk: @zerohedge Almost like there’s latency in their data, so things are worse than they realize …","May 6, 2023 · 4:12 AM UTC"
@vinarm0303,Is starlink wireless Wi-Fi works in India too,"May 6, 2023 · 4:12 AM UTC"
@TWITT3RISLAME,I l ove memes. I also Iove misdirecting my feelings with sarcasm and humor… but tell us how you really feel.,"May 6, 2023 · 4:12 AM UTC"
@Bilbo38901695,Look I get proof is on the one who makes the claim but cmon this is a quick google search to find a whole slew of articles that talk about this,"May 6, 2023 · 4:12 AM UTC"
@Brucebooboo2022,Hopefully America will be stuck with trump for 4 more years.,"May 6, 2023 · 4:12 AM UTC"
@IndictBiden,I'm looking for your approval.,"May 6, 2023 · 4:12 AM UTC"
@Bbn8Bbn,🔥,"May 6, 2023 · 4:12 AM UTC"
@BridgetMerk,It feels eerily similar to crime reports in large cities before the ‘22 elections.  The ‘data hadn’t been integrated with the new tech’.,"May 6, 2023 · 4:12 AM UTC"
@ClubEditorial,⚓️ Elon Musk lidera llamado a frenar el avance de la IA: ¿Pausa para la seguridad o freno al progreso? tecnovedosos.com/frenar-avan…,"May 6, 2023 · 4:12 AM UTC"
@HClarkeHolmes,The lies continue,"May 6, 2023 · 4:12 AM UTC"
