date,id,username,content,likes,rts,views
2023-04-04 02:54:52+00:00,1643084693951111169,todopormiperro,"🐾 Responde al nombre MOCCA Se extravió el 30 Marzo La piedad 66 Los Condes #Santiago #Chile🇨🇱
🐶 Hembra Braco Aleman, cicatriz en su cabeza.☎️ Si la ven favor de resguardar y llamar al 977835590 @SOSMascotasCL @KarendTV https://t.co/CmcCtgcbQx",0,1,54.0
2023-04-04 02:54:41+00:00,1643084646790361090,thepunisher1928,"Según la Cadem el 99% de los chilenos está de acuerdo con que Carabineros primero dispare y después pregunte

Senado
#GatilloFácil 
#Chile",0,0,39.0
2023-04-04 02:54:08+00:00,1643084509011746817,KarlConcejalAH,"#FueraNaziZelensky
A 50 años del golpe militar en #Chile y el congreso invita a un N4zi. https://t.co/tBc6m4BGVg",1,1,63.0
2023-04-04 02:53:11+00:00,1643084271068803072,KARL_HARDER,"#FueraNaziZelensky
A 50 años del golpe militar en #Chile y el congreso invita a un N4zi. https://t.co/cDwaBBD5jF",0,0,15.0
2023-04-04 02:52:38+00:00,1643084132950454272,ahertzer,"El chantaje de la Ministra @Carolina_Toha es realmente vergonzoso el @GobiernodeChile debe acatar lo que el pueblo de #Chile dice, un 95% quiere que @Carabdechile hagan uso de sus armas.",1,1,51.0
2023-04-04 02:49:41+00:00,1643083389719699457,MulderkrisBox,Davis cada día poniendo bien su potencia para que el sábado 22 de abril noquear a García. #MULDERKRISBOXING #loslimitesestanentucabeza #boxing #mexico #cancun #Deportes #QuintanaRoo #yucatan #boxeo🥊 #chile🇨🇱 #cuba🇨🇺 #venezuela🇻🇪 #bolivia🇧🇴 #puertorico🇵🇷 #nicaragua🇳🇮 #argentina🇦🇷 https://t.co/J4lwfZyLbE,0,0,146.0
2023-04-04 02:48:15+00:00,1643083026459422722,lado_mx,#Chile: Chilenos se ilusionan con selección de fútbol sub-17. https://t.co/aZjsdeXFnq,0,0,9.0
2023-04-04 02:47:07+00:00,1643082742052077568,RobertSalvatie,"@PanchoOrregoG Actúan igual que la #DerechaMiserableyCorrupta se hacen los ofendidos se paran de la mesa de diálogo y dejan a #Chile en la 💩...

Paja en el ojo ajeno Panchito?!?!?...   🥴🥴🥴 https://t.co/h9rwzsHEbU",0,0,
2023-04-04 02:45:36+00:00,1643082361804914695,Sebastianvegaiq,"Extranjeros peleaban afuera del edificio de la ex Intendencia Regional. #Carabineros en el lugar, hay dos detenidos. #lavozv #Renuncia #chile #haceloviral #patriots #Tarapacá #libertarios #Antofagasta #Iquique #Arica #AltoHospicio 
(Gracias a Héctor) https://t.co/S1PThFgSvb",2,1,284.0
2023-04-04 02:44:25+00:00,1643082064722264065,Surdeitalia,Me lee alguien de #Chile Todo bien?,4,0,122.0
2023-04-04 02:44:04+00:00,1643081975677239296,VilasRadio,"▶El pasado 31 de marzo a través del dictamen  Folio E328046 / 2023  la Contraloría de la República respondió al caso del lienzo en el edificio del Gobierno Regional👇

https://t.co/sB6bSFcT1g

📱💻👉síguenos en redes sociales como #VilasRadio
#Iquique #Arica #Chile",0,0,127.0
2023-04-04 02:43:21+00:00,1643081792977551360,Fakimaki76,#LeyPiteateUnPolitico   #Chile #FuegoAlCongreso https://t.co/p4CB9FJ83T,0,1,3.0
2023-04-04 02:42:27+00:00,1643081570205544448,Marshe88,#adoptable #Chile #difunde,0,0,13.0
2023-04-04 02:41:29+00:00,1643081324192776193,TradersCom,"This Week’s Interest Rate Moves (E.T.)
Tuesday, April 4, 2023
 00:30 #RBA Interest Rate Decision and Statement
16:00 #Chile Interest Rate Decision
22:00 #RBNZ Interest Rate Decision &amp; Statement
Thursday, April 6, 2023
 00:30 #RBI Interest Rate Decision
https://t.co/zr6EiTzIUG",0,0,316.0
2023-04-04 02:40:58+00:00,1643081194869858304,LaMarejada_Cl,"Un símbolo del momento actual: #PlazaDignidad - #JardinDeLaResistencia amurallada...

#PlazaDeLaDignidad #PlazaItalia #Baquedano #MetroBaquedano #Santiago #SantiagoDeChile #Chile 
#ChileViolaDDHH #DDHH #ddhhchile 
#Memoria #MemoriaHistórica #MemoriaVerdadyJusticia #MemoriaPopular https://t.co/BczlXOpMhX",2,6,189.0
2023-04-04 02:39:48+00:00,1643080903009214465,Fakimaki76,@Revista_Sabado @JuniorPlayboy_1 weon te están robando la idea. #Chile,0,0,5.0
2023-04-04 02:39:44+00:00,1643080882687823874,NarethFernanda,Llegó el mejor momento del día : acostarse 🥰☺️🤣 #CHILE,1,0,8.0
2023-04-04 02:38:40+00:00,1643080616101961728,esteban_er,"En este caso , @Carabdechile podría hacer uso de su arma de fuego y disparar y est a en todo su derecho o tal vez no…. Va en el carabinero que dependiendo como se levante la ocupe o no….. ahí se las dejo #LeyGatilloFacil #LeyNain_Retamal #Chile",0,0,11.0
2023-04-04 02:38:07+00:00,1643080475613835267,lucianodelavina,2ab23~Noticias #Chile mujer boliviana entraba a trabajar como asesora del hogar (empleada doméstica) DROGABA  A SUS EMPLEADORES Y ROBABA TODO LO DE MAS VALOR ¿Honorables? legisladores Pongan en la frontera esta lacra de #Delincuentes extranjeros 🥺 éramos   #Lacopiafelizdeledén,0,0,5.0
2023-04-04 02:37:59+00:00,1643080444148084736,piperouses,"Han visto alguna vez un arcoíris de luna? 
(Se distingue súper poquito, pero ahí está) 

La magia de la Patagonia 💜

#Aysen #Patagonia #Chile #Rainbow https://t.co/OXtPFcGgQq",1,0,53.0
2023-04-04 02:37:43+00:00,1643080377542619137,miguelsmirnoff,#Chile #Yargi #PinarDeniz #KaanUrgancioglu #BasakGümülcinelioglu #MehmetYilmazAk #UgurPolat #IlgatMuraz @KanalD Estreno el lunes 10 por @Mega,0,2,234.0
2023-04-04 02:37:21+00:00,1643080286467399680,nickacp,"La ley Nain-Retamal ata de manos a los comunistas y delincuentes. He ahí el motivo de su desesperación para que se rechace o modifique por todas las vías posibles.
Bien por #Chile su aprobación!!
https://t.co/eapTFJSPqr",0,0,15.0
2023-04-04 02:36:49+00:00,1643080150450331648,agustinoschile,"🌿 La entrada triunfante de Jesús en Jerusalén, Domingo de Ramos, fue celebrada en la comunidad Santa Rita de Casia de la parroquia El Buen Pastor que fue presidida por el P. Carlos Melo.

#sanagustín #agustinos #agustinízate #chile #hermanos #vocación #agustín #augustine https://t.co/qF3WdIJaMl",0,0,11.0
2023-04-04 02:36:37+00:00,1643080098449440771,RobertSalvatie,"@Cooperativa Tanta ignorancia de la #DerechaMiserableyCorrupta esa derecha es como ser socialista en #Chile...
🤣🤣🤣 https://t.co/OQlB3OM1a5",0,0,1.0
2023-04-04 02:36:00+00:00,1643079943960535040,SolamenteFulbo,"#SudamericanoSub17 Fecha 2

FINALES

Chile 2-0 Uruguay 

Brasil 3-1 Colombia

POSICIONES #GrupoA 

#Brasil 7
#Ecuador 4
#Chile 3
#Uruguay 1
#Colombia 1 https://t.co/prY4a8UXr3",0,0,153.0
